STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
13,223,Paulding, GA,142324,33.905688,-84.816609
13,225,Peach, GA,27695,32.584826,-83.82958
13,227,Pickens, GA,29431,34.455892,-84.442301
13,229,Pierce, GA,18758,31.314668,-82.240429
13,231,Pike, GA,17869,33.103227,-84.366796
13,233,Polk, GA,41475,34.010878,-85.176771
13,235,Pulaski, GA,12010,32.275344,-83.480342
13,237,Putnam, GA,21218,33.317059,-83.339663
13,239,Quitman, GA,2513,31.859377,-85.077727
13,241,Rabun, GA,16276,34.87903,-83.407223
13,243,Randolph, GA,7719,31.760403,-84.758026
13,245,Richmond, GA,200549,33.426859,-82.049444
13,247,Rockdale, GA,85215,33.642043,-84.020894
13,249,Schley, GA,5010,32.241549,-84.306781
13,251,Screven, GA,14593,32.722842,-81.627328
13,253,Seminole, GA,8729,30.972496,-84.868027
13,255,Spalding, GA,64073,33.258051,-84.273339
13,257,Stephens, GA,26175,34.556904,-83.288681
13,259,Stewart, GA,6058,32.069335,-84.764519
13,261,Sumter, GA,32819,32.059981,-84.221818
13,263,Talbot, GA,6865,32.703124,-84.582116
13,265,Taliaferro, GA,1717,33.5688,-82.88576
13,267,Tattnall, GA,25520,32.043908,-82.052217
13,269,Taylor, GA,8906,32.560542,-84.215083
13,271,Telfair, GA,16500,32.01562,-82.892471
13,273,Terrell, GA,9315,31.772157,-84.42886
13,275,Thomas, GA,44720,30.868962,-83.948411
13,277,Tift, GA,40118,31.454362,-83.515048
13,279,Toombs, GA,27223,32.183936,-82.367022
