county state,absolute mobility
Lewis ID,46.9
Lincoln ID,
Madison ID,51.6
Minidoka ID,49.2
Nez Perce ID,43.6
Oneida UT,
Owyhee ID,46
Payette ID,43.9
Power ID,46.9
Shoshone ID,43.4
Teton WY,50.1
Teton WY,50.4
Teton WY,50.1
Teton WY,50.4
Twin Falls ID,45.5
Valley ID,43.3
Washington OR,45.7
Washington ID,43.1
Washington OR,45.7
Washington OR,43.1
Adams IL,45.4
Alexander IL,35.7
Bond IL,43.3
Boone IL,42.9
Brown IL,
Bureau IL,47.2
Calhoun IL,
Carroll IL,46.8
Cass IL,44.4
Champaign IL,40.5
Christian IL,45.1
Clark IL,47.5
Clay IL,44.5
Clinton IL,52.3
Coles IL,40.9
Cook IL,38
Crawford IL,43.7
Cumberland IL,44
De Kalb IL,45.3
Dewitt IL,46.3
Douglas IL,48.8
Du Page IL,49
Edgar IL,45.7
Edwards IL,49
Effingham IL,50.3
Fayette IL,45.6
Ford IL,47.8
Franklin IL,45.3
Fulton IL,44.1
Gallatin IL,50.5
Greene IL,48.2
Grundy IL,46.8
Hamilton IL,49.4
Hancock IA,51.4
Hancock IA,55.1
Hancock IA,51.4
Hancock IA,55.1
Hardin IL,
Henderson IA,50.4
Henry IL,46.9
Iroquois IL,47.4
Jackson IL,40.5
Jasper IL,53
Jefferson IL,43
Jersey IL,46.4
Jo Daviess IA,50.3
Johnson IL,44.4
Kane IL,41.4
Kankakee IL,40.9
Kendall IL,49.2
Knox IL,41.7
Lake IL,42.7
La Salle IL,45.2
Lawrence IN,44.8
Lawrence IN,39.7
Lawrence IN,44.8
Lawrence IN,39.7
Lee IL,45.2
Livingston IL,46.9
Logan IL,45.1
McDonough IL,48.2
McHenry IL,46.7
Mclean IL,42.7
Macon IL,39.5
Macoupin IL,44.3
Madison IL,41.4
Marion IL,40.8
Marion MO,44.5
Marion IL,40.8
Marion IL,44.5
Marshall IL,47.4
Mason IL,43.1
Massac KY,41.4
Menard IL,46.8
Mercer IL,50.8
Monroe MO,51.1
Monroe MO,47.5
Monroe MO,51.1
Monroe MO,47.5
Montgomery IL,44.2
Morgan IL,41.4
Moultrie IL,45.8
Ogle IL,45.8
Peoria IL,37.9
Perry IL,45.2
Piatt IL,46.6
Pike IL,47.4
Pike MO,43.8
Pike IL,47.4
Pike IL,43.8
Pope KY,
Pulaski IL,38.6
Putnam IL,42.6
Randolph IL,47.7
Richland IL,46.2
Rock Island IL,42
St Clair MO,37.6
St Clair MO,44.3
St Clair MO,37.6
St Clair MO,44.3
Saline IL,42.8
Sangamon IL,39.4
Schuyler IL,47.9
Scott IL,42.6
Scott IL,42.6
Shelby IL,45.9
Stark IL,50.1
Stephenson IL,42.5
Tazewell IL,43.9
Union IL,42.8
Vermilion IN,40.8
Wabash IN,44.8
Wabash IN,41.2
Wabash IN,44.8
Wabash IN,41.2
Warren IL,45
Washington IL,50.6
Wayne IL,48.7
White IL,46.7
Whiteside IL,43.9
Will IL,42.4
Williamson IL,41.1
Winnebago IL,38
Woodford IL,48.3
Adams IN,45.3
Allen IN,38.6
Bartholomew IN,39
Benton IN,50
Blackford IN,39.7
Boone IN,42.6
Brown IN,44.1
Carroll IN,47.7
Carroll IN,39
Carroll IN,47.7
Carroll IN,39
Cass IN,42.1
Cass IN,40.6
Cass IN,42.1
Cass IN,40.6
Clark KY,39.4
Clark KY,35.5
Clark KY,39.4
Clark KY,35.5
Clay IN,43.6
Clinton IN,41.8
Crawford KY,42.6
Daviess IN,46.2
Dearborn IN,42.5
Decatur IN,42.8
De Kalb IN,41.2
Delaware IN,36.7
Dubois IN,52.7
Elkhart IN,41
Fayette IN,35.2
Floyd KY,39.7
Floyd KY,42
Floyd KY,39.7
Floyd KY,42
Fountain IN,44.6
Franklin IN,39.1
Fulton IN,42.7
Gibson IN,47.9
Grant IN,37.3
Greene IN,43.7
Hamilton IN,43.2
Hancock IN,42.5
Harrison KY,44.6
Harrison KY,39
Harrison KY,44.6
Harrison KY,39
Hendricks IN,45.3
Henry IN,39.8
Howard IN,37.3
Huntington IN,41.6
Jackson IN,42.4
Jasper IN,48.7
Jay IN,43.9
Jefferson IN,41.3
Jennings IN,40.4
Johnson IN,41.6
Knox IN,45.2
Kosciusko IN,43.7
Lagrange IN,49
Lake IN,39.4
La Porte IN,39.8
Madison IN,37.2
Marion IN,35
Marshall IN,43.3
Martin IN,44.3
Miami IN,40.7
Monroe IN,38.3
Montgomery IN,43.8
Morgan IN,41.2
Newton IN,45.7
Noble IN,42.8
Ohio IN,
Orange IN,41.4
Owen IN,39.1
Parke IN,44.1
Perry IN,45.6
Pike IN,48.7
Porter IN,44.8
Posey IN,44.6
Pulaski IN,45.4
Putnam IN,42.1
Randolph IN,42.5
Ripley IN,48.2
Rush IN,42.4
St Joseph IN,38.4
St Joseph IN,40.6
St Joseph IN,38.4
St Joseph IN,40.6
Scott IN,36.3
Shelby IN,41.7
Spencer IN,49.5
Starke IN,41.2
Steuben IN,41.5
Sullivan IN,44.5
Switzerland IN,42.5
Tippecanoe IN,42.4
Tipton IN,44.1
Union IN,44
Vanderburgh IN,39.2
Vermillion IN,42.7
Vigo IN,40.4
Warren IN,
Warrick IN,44.6
Washington KY,41.4
Washington KY,44.4
Washington KY,41.4
Washington KY,44.4
Wayne IN,37.4
Wells IN,45.6
White IN,45.7
Whitley IN,44.9
Adair IA,54.3
Adams IA,
Allamakee IA,55.3
Appanoose IA,48.3
Audubon IA,55.6
Benton IA,50.4
Black Hawk IA,44.1
Boone IA,47
Bremer IA,55
Buchanan IA,52.8
Buena Vista IA,52.3
Butler IA,56
Calhoun IA,54.4
Carroll IA,59.8
Cass IA,52.4
Cedar IA,51.8
Cerro Gordo IA,48.7
Cherokee IA,55.1
Chickasaw IA,57
Clarke IA,49.2
Clay IA,49.7
Clayton IA,55.3
Clinton IA,46.9
Crawford IA,55
Dallas IA,48.5
Davis IA,51.1
Decatur IA,46.4
Delaware IA,56.3
Des Moines IA,41.6
Dickinson IA,51.3
Dubuque IA,52.7
Emmet MN,54
Fayette IA,53.9
Floyd IA,53.4
Franklin IA,49.3
Fremont IA,50.5
Greene IA,48.5
Grundy IA,54.8
Guthrie IA,51
Hamilton IA,49.4
Hardin IA,53.3
Harrison IA,50.5
Henry IA,51.9
Howard IA,58.4
Humboldt IA,55.2
Ida IA,55.8
Iowa IA,54.7
Jackson IA,51.1
Jasper IA,48.9
Jefferson IA,49.3
Johnson IA,45.9
Jones IA,51.6
Keokuk IA,54.4
Kossuth IA,58.5
Lee IA,44.7
Linn IA,45.4
Louisa IA,48.3
Lucas IA,51.8
Lyon IA,60
Madison IA,48.9
Mahaska IA,50.3
Marion IA,50.5
Marshall IA,45.8
Mills IA,48.8
Mitchell IA,56.7
Monona IA,49.2
Monroe IA,51.9
Montgomery IA,48.9
Muscatine IA,45.7
Obrien IA,54.9
Osceola IA,56.4
Page IA,50.5
Palo Alto IA,54.8
Plymouth IA,57.3
Pocahontas IA,58.3
Polk IA,42.6
Pottawattamie IA,44
Poweshiek IA,50.8
Ringgold IA,
Sac IA,57.2
Shelby IA,52.9
Sioux IA,59.4
Story IA,51.1
Tama IA,51.1
Taylor IA,51.9
Union IA,48.9
Union IA,52.8
Union IA,48.9
Union IA,52.8
Van Buren IA,50.4
Wapello IA,44.1
Warren IA,50.1
Washington IA,47
Wayne IA,51.2
Wayne IA,59.6
Wayne IA,51.2
Wayne IA,59.6
Webster IA,44.4
Winnebago IA,49.8
Winneshiek IA,58
Woodbury IA,44.5
Worth IA,47.4
Wright IA,49.8
Allen KS,44.7
Anderson KS,47.3
Atchison KS,46.1
Barber KS,56.9
Barton KS,50.9
Bourbon MO,44.9
Brown KS,50.7
Butler KS,45.2
Chase KS,
Chautauqua KS,
Cherokee MO,43.6
Cheyenne KS,
Clark KS,
Clay KS,50.3
Cloud KS,51.2
Coffey KS,47.9
Comanche KS,
Cowley KS,44
Crawford MO,44.7
Crawford MO,42
Crawford MO,44.7
Crawford MO,42
Decatur KS,
Dickinson KS,46.1
Doniphan MO,49.6
Douglas KS,40.6
Edwards KS,
Elk KS,
Ellis KS,53.1
Ellsworth KS,54.8
Finney KS,45.3
Ford KS,45.3
Franklin KS,43
Geary KS,37.2
Gove KS,
Graham KS,
Grant KS,47.7
Gray KS,54.4
Greeley KS,
Greenwood KS,48.8
Hamilton KS,
Harper KS,50
Harvey KS,46.3
Haskell KS,
Hodgeman KS,
Jackson KS,48.6
Jefferson KS,49.6
Jewell KS,
Johnson MO,46.5
Johnson MO,42.5
Johnson MO,46.5
Johnson MO,42.5
Kearny KS,
Kingman KS,52.3
Kiowa KS,
Labette KS,44.8
Lane KS,
Leavenworth KS,41.1
Lincoln KS,
Linn MO,44.5
Linn MO,48.4
Linn MO,44.5
Linn MO,48.4
Logan KS,
Lyon KS,45.5
McPherson KS,49.1
Marion KS,49.8
Marshall KS,58.6
Meade KS,
Miami MO,47.9
Mitchell KS,56.9
Montgomery KS,42.8
Morris KS,46.7
Morton KS,
Nemaha KS,63.8
Neosho KS,45.1
Ness KS,
Norton KS,51.3
Osage KS,45.5
Osborne KS,
Ottawa KS,49.4
Pawnee KS,47.8
Phillips KS,54.2
Pottawatomie KS,50.9
Pratt KS,49.4
Rawlins KS,
Reno KS,44.5
Republic KS,49.6
Rice KS,45.6
Riley KS,43.8
Rooks KS,49.8
Rush KS,
Russell KS,51.5
Saline KS,42.6
Scott KS,52.7
Sedgwick KS,40.1
Seward KS,45.9
Shawnee KS,40.3
Sheridan KS,
Sherman KS,49.2
Smith KS,
Stafford KS,
Stanton KS,
Stevens KS,52.4
Sumner KS,45.3
Thomas KS,56.8
Trego KS,
Wabaunsee KS,48.2
Wallace KS,
Washington KS,56
Washington KS,41.5
Washington KS,56
Washington KS,41.5
Wichita KS,
Wilson KS,45.3
Woodson KS,
Wyandotte MO,36
Adair KY,41.5
Allen KY,39.4
Anderson KY,41.5
Ballard KY,
Barren KY,43.2
Bath KY,39
Bell TN,38.3
Boone OH,41.9
Bourbon KY,38.7
Boyd KY,39.2
Boyle KY,39.2
Bracken KY,38.3
Breathitt KY,36.5
Breckinridge KY,44.9
Bullitt KY,42.3
Butler KY,43.3
Caldwell KY,42.9
Calloway KY,41.9
Campbell OH,39.1
Carlisle KY,
Carter KY,41.4
Casey KY,40.1
Christian KY,37.9
Clay KY,37.1
Clay KY,37.1
Clinton KY,41
Crittenden KY,47.6
Cumberland KY,
Daviess KY,42.4
Edmonson KY,42.4
Elliott KY,
Estill KY,38.9
Fayette KY,35.6
Fleming KY,41.4
Franklin KY,37.6
Fulton TN,34.5
Gallatin OH,
Garrard KY,38.7
Grant OH,41.5
Graves TN,42.3
Grayson KY,43.3
Green KY,47.6
Greenup KY,40.8
Hancock KY,46
Hardin KY,41.4
Harlan KY,43
Hart KY,39.6
Henderson KY,39.6
Henry KY,41.9
Hickman KY,38.6
Hickman TN,38.6
Hopkins KY,43.8
Jackson KY,41
Jefferson KY,36
Jessamine KY,35.5
Johnson KY,44.3
Kenton OH,36.9
Knott KY,39.9
Knox KY,38.2
Larue KY,43.3
Laurel KY,40.1
Lawrence KY,41.8
Lawrence KY,39.6
Lawrence KY,41.8
Lawrence KY,39.6
Lee KY,
Leslie KY,43.2
Letcher KY,44.8
Lewis KY,41
Lincoln KY,39.9
Livingston KY,41.5
Logan KY,43
Lyon KY,
McCracken KY,38.4
McCreary KY,38.5
Mclean KY,45.7
Madison KY,38.1
Magoffin KY,40.8
Marion KY,45.9
Marshall KY,46
Martin KY,44.6
Mason KY,38.8
Meade KY,42.7
Menifee KY,
Mercer KY,40.3
Metcalfe KY,41.5
Monroe KY,44.3
Montgomery KY,37.4
Morgan KY,41.1
Muhlenberg KY,44
Nelson KY,43
Nicholas KY,39
Ohio KY,43.8
Oldham KY,44.1
Owen KY,41.2
Owsley KY,
Pendleton OH,39.6
Perry KY,41.4
Pike KY,43.3
Powell KY,39.6
Pulaski KY,38.7
Robertson KY,
Rockcastle KY,38.4
Rowan KY,40
Russell KY,40.7
Scott KY,37.9
Scott KY,39.5
Scott KY,37.9
Scott KY,39.5
Shelby KY,40.2
Simpson KY,40.8
Spencer KY,42.8
Taylor KY,41.6
Todd TN,42.2
Trigg KY,38.8
Trimble IN,42.6
Union KY,46
Warren KY,39.3
Wayne KY,38.9
Wayne KY,41.2
Wayne KY,38.9
Wayne KY,41.2
Webster KY,45.4
Whitley KY,39.8
Wolfe KY,39.1
Woodford KY,38
Acadia LA,43.9
Allen LA,44.6
Ascension LA,42.1
Assumption LA,42.8
Avoyelles LA,42
Beauregard LA,44.9
Bienville LA,38.5
Bossier LA,40.4
Caddo LA,36.3
Calcasieu LA,41.3
Caldwell LA,42.1
Cameron LA,46.2
Catahoula LA,46.9
Claiborne LA,40.2
Concordia MS,39.8
De Soto LA,39.6
East Baton Rouge LA,38.1
East Carroll LA,35.4
East Feliciana LA,38.1
Evangeline LA,45.5
Franklin LA,41.9
Grant LA,42.4
Iberia LA,41.4
Iberville LA,38.7
Jackson LA,41.8
Jefferson LA,40.2
Jefferson Davis LA,44.1
Lafayette LA,42.1
Lafourche LA,44.5
La Salle LA,50.9
Lincoln LA,39.2
Livingston LA,42.8
Madison MS,34.8
Madison MS,36.1
Madison MS,34.8
Madison MS,36.1
Morehouse LA,36
Natchitoches LA,40
Orleans LA,34.8
Ouachita LA,36.7
Plaquemines LA,43.7
Pointe Coupee LA,40.6
Rapides LA,39.1
Red River LA,40.9
Richland LA,39.1
Sabine LA,46.6
St Bernard LA,42.8
St Charles LA,41.3
St Helena LA,37.7
St James LA,39.9
St John The Baptist LA,38.4
St Landry LA,43.3
St Martin LA,41.6
St Mary LA,41.5
St Tammany LA,41.2
Tangipahoa LA,39.2
Tensas MS,40.2
Terrebonne LA,45.3
Union LA,41.5
Vermilion LA,48
Vernon LA,43
Washington LA,37.7
Webster LA,40.3
West Baton Rouge LA,38.9
West Carroll LA,44.2
West Feliciana LA,41.8
Winn LA,41.5
Androscoggin ME,42.9
Aroostook ME,43.6
Cumberland ME,42.9
Franklin ME,46.1
Hancock ME,42.2
Kennebec ME,42.9
Knox ME,40.8
Lincoln ME,42.1
Oxford ME,42.1
Penobscot ME,42.3
Piscataquis ME,43.9
Sagadahoc ME,41.5
Somerset ME,42.2
Waldo ME,39.4
Washington ME,38.9
York ME,44.7
Allegany MD,43.2
Anne Arundel MD,40.8
Baltimore MD,42.2
Baltimore MD,42.2
Calvert DC,43.5
Caroline MD,39.4
Carroll MD,47.5
Cecil MD,41.2
Charles DC,42.9
Dorchester MD,37.3
Frederick DC,45.6
Garrett MD,45.7
Harford MD,43.5
Howard MD,46.9
Kent MD,40
Montgomery DC,47.7
Prince Georges DC,40.2
Queen Annes MD,44.3
St Marys DC,44.3
Somerset DE,38.4
Talbot MD,39.8
Washington PA,43.1
Washington MD,47.3
Washington PA,43.1
Washington PA,47.3
Wicomico MD,38.6
Worcester MD,39.2
Baltimore City MD,33.8
Barnstable MA,45
Berkshire MA,42.5
