Mean Parent Income,Mean Child Income
58500,43000
101500,53900
65500,43500
82400,51700
68400,44200
68000,41800
65400,51000
108900,55100
54300,44400
92500,50100
63600,41700
54100,44500
78300,42000
66800,43700
149700,58000
57200,44600
55200,40900
54600,44100
57600,41000
53600,39100
90900,47300
102300,53900
57400,46500
53900,41300
81900,45900
85700,47100
66900,42500
65200,48100
61800,43400
79200,46400
72300,46100
67400,42700
135300,54700
82300,39400
65500,42600
62000,52100
93400,55100
61700,52300
65000,43000
82900,58400
58100,60000
82700,52700
78400,61000
72300,48600
122700,61300
52700,38300
73400,55800
83900,53500
85200,55200
45800,45500
,
61000,57300
77200,48500
121700,62600
118600,53200
74400,58100
60900,52500
70400,58100
66000,52300
85900,60000
61600,62000
144200,57700
83600,54600
65900,46600
75000,53500
72200,52500
62200,57100
59000,49200
79300,54100
62200,59400
73800,50500
71900,59600
70300,50900
,
79400,58700
56000,77600
80000,61800
80900,58900
57100,43900
70300,58900
71200,58200
74600,58100
65100,53100
60800,50800
72500,53300
61900,55700
90900,57000
69400,57400
64000,56800
117200,58300
68900,53800
71800,55300
62100,47600
62900,59300
71100,57800
72100,60600
111500,53000
53900,64700
70500,60500
69200,62700
91000,54200
67800,58500
81600,54200
77400,52200
111000,63000
91500,55900
65600,57200
87400,58500
85400,57800
83500,68100
65600,58200
56200,52800
,
73400,58700
60300,53500
72700,55400
122200,62100
72600,51800
69200,62800
84700,55000
88100,55500
65500,60900
58400,37800
68000,36400
46000,39900
50800,37600
,
39200,28400
47300,37400
43600,38000
44500,30300
40300,37700
35300,35000
44000,38500
48500,31400
39700,27800
44400,32200
43100,35500
73400,43400
62300,39200
42800,39000
50500,44900
40000,38900
51000,32900
57200,39400
61100,37500
73400,36500
32600,26400
31200,22000
,
52800,39400
68000,39400
50000,33900
35500,26000
36700,44800
54100,38700
39900,30400
71300,39900
54500,42300
58700,38000
47600,41200
43600,38600
68900,36700
47700,29500
67400,40100
62100,35600
88400,42200
44800,41000
42600,32600
52300,36800
39600,35400
48400,35100
44500,35600
36700,29300
56600,36100
41800,29600
50800,40200
44100,41900
48700,34500
51900,39100
54100,37200
31200,23300
78300,45400
43000,33300
38300,27300
47500,38300
45300,42300
46000,40400
36300,28400
33300,25100
52700,34600
49200,37100
51000,41800
36600,23900
59900,41400
35000,34200
63100,37400
41400,27300
49900,44300
40900,36200
38000,33300
47300,33100
43100,32800
47000,31700
71500,45900
94600,53600
68600,53200
66900,45500
53500,41800
51300,42900
57400,46000
44900,40700
48800,41000
92400,50700
62300,58600
54900,38400
59800,48000
65600,42600
60400,41300
84400,47100
53800,49800
40700,41400
79400,53500
42600,38500
53000,51800
66700,44200
54400,49100
91100,51100
68000,47700
87100,51700
58200,41900
50300,38200
49500,42200
46600,36700
47300,43600
55200,48900
49400,47000
38100,34100
46300,37100
79100,50200
66300,47600
55200,50600
80900,44600
56700,43000
47300,41600
58600,44700
,
49900,46300
62700,45800
50500,39900
46100,39500
76600,41600
69000,43100
73500,46300
64400,42200
,
52900,38200
64300,47600
49900,40900
57300,45900
69000,46700
54600,50000
69800,53500
42700,35700
57200,46800
49100,39400
52200,42900
69600,47100
,
49200,40300
52500,34400
61200,47200
58400,46500
57300,46900
45100,37900
46500,37800
54700,40600
62900,57000
35600,38800
67700,56000
37200,35800
40700,33000
77800,51100
61400,44100
60700,41700
59100,47600
108900,55200
53300,41700
52700,37900
,
62300,47600
69400,45600
68800,53900
47100,43600
40900,35000
100800,57100
42700,41200
73300,55000
61600,39300
131800,55800
54300,44600
,
,
60800,44000
33100,34600
46600,52100
53300,42000
48400,37800
49600,43400
53700,37300
42500,38000
55800,47500
72900,47300
46400,36300
42200,36600
56100,39200
,
43300,38600
47400,28300
67200,50500
44700,30800
45000,36600
,
56900,49900
,
69300,46900
53800,48300
60600,51400
,
63000,65000
59500,48200
,
55500,49800
68700,44500
81200,48700
,
41800,30500
,
,
61100,45300
71300,48400
,
55100,40000
75700,47400
,
51400,44500
,
,
,
,
77400,47000
,
57200,40600
,
48900,52900
54900,49600
,
55500,45200
,
56600,45600
56900,65800
41200,39600
61100,43100
47700,45000
,
72200,53600
67400,73500
,
51800,53000
,
,
60300,53600
,
,
81300,51000
83700,54800
57900,56300
,
,
,
60900,68900
75000,57500
,
,
87500,55600
58800,54100
62800,65300
79500,53900
55100,68600
,
51900,47500
71300,55000
63400,60100
60900,58200
64100,63900
50000,53500
67700,52000
59100,58100
56400,49200
,
64300,55400
78700,58900
118600,52000
,
62800,61200
,
,
52600,59000
64300,59900
,
,
,
,
,
76900,55800
64500,58700
,
,
,
52500,56300
,
51500,54800
60700,59900
,
60800,54400
69600,57100
,
,
51100,59900
102200,52400
77500,51500
,
,
,
79300,56500
63500,55600
59300,57100
,
71300,60700
,
68400,53400
,
,
71300,53700
65300,59600
74000,58800
,
61000,49200
59500,51700
,
63100,56400
89600,53100
71400,56500
62300,48500
73800,64200
49500,52000
,
,
,
80700,62200
,
46500,34600
,
85400,59600
67500,60500
,
,
71900,58100
71000,47400
92200,41200
97000,49500
84400,52900
,
,
75700,53100
69800,52400
,
64000,39500
,
63500,41300
,
,
102500,45300
89700,52300
81700,46400
82400,47700
72600,46200
109100,48600
68100,47400
88600,46900
114900,56600
91600,51600
109600,55700
82800,48900
69500,43300
74700,46500
179300,77300
108500,58400
91200,52800
104200,51300
66400,42900
105200,50300
89900,54700
54300,46200
193000,72400
132300,59500
109100,66300
149600,70700
198400,80500
89100,56200
81400,53200
82100,53500
221600,76600
118700,63700
123600,60300
106500,58900
78700,42800
,
53000,40300
46300,32500
50900,41200
58800,42700
,
53700,37300
62400,52800
55600,39400
,
,
56400,37400
57600,50800
55100,44300
128400,59200
37500,34900
39200,24300
,
53200,38800
45600,37700
51300,35100
44800,36900
70500,38600
61600,40800
41900,34900
79800,40700
39900,36400
45400,34900
47000,33300
48500,38200
,
55400,37700
96100,56600
57600,44500
42700,34100
79200,49800
62800,46300
67200,47300
63100,45900
71900,46900
57700,44000
70200,47600
78300,48500
64100,46400
60100,48600
101000,57200
87500,52400
58800,46400
59000,43100
60500,45200
74700,49600
65400,47900
,
62500,47600
63200,45500
58600,42600
57000,48400
72300,48800
73800,49000
97100,51800
61100,44700
151500,81500
244000,48700
77100,47900
72300,49400
93300,52600
81200,51300
91800,53700
71400,45700
67900,47100
66400,47200
123700,70700
59300,51400
77700,51300
97800,66200
134000,69500
63200,48700
102300,59200
91600,55700
60400,45900
57200,42600
67200,46900
73000,47900
106000,63700
62400,46900
71600,45700
84800,50800
77100,48700
78000,48600
61400,44400
76400,46500
208600,72100
70100,49600
59000,46000
75000,39500
60200,37500
56400,41600
45100,28800
58900,34300
53600,37500
60000,39000
37800,31300
45800,32800
53700,32700
76200,41000
60300,36100
80800,41400
57600,33800
62300,39400
60600,40400
54500,37200
80600,41400
62900,39000
173500,36200
51800,40000
57700,38300
59500,35900
51400,33100
64900,37900
60600,34800
65600,39700
64500,39200
64800,37800
82800,45500
46900,36100
83000,38400
45700,28600
95800,43300
54400,33400
69300,37800
51800,35400
48000,41200
57500,38600
48700,33400
108100,42800
45300,30200
60200,38100
62600,38600
80300,42100
45200,30600
40200,26400
,
75200,39700
61000,40800
62100,38800
44600,34900
64400,38400
61900,36800
68100,41800
56400,36600
72000,46300
49700,36600
48600,33500
112600,45700
52300,37900
46700,31200
70600,38500
70600,38100
87600,40500
40300,31100
57500,37900
135400,53100
49300,35900
58600,35400
52700,32700
45800,37200
64600,39300
76600,37900
66400,37900
64800,39900
48500,31100
44900,28700
63300,36800
69000,38800
57600,34900
55700,35200
51000,30100
73600,42700
68000,40000
64200,41700
40900,33300
66600,39300
,
71900,41100
50100,29400
128700,53400
37100,29500
54700,34000
84800,43600
61100,37500
64000,40100
62200,37300
64500,42700
50000,36300
,
63100,66100
36300,39900
,
58100,63900
,
,
103900,65100
102500,62000
,
,
,
,
,
,
,
,
85800,57500
,
,
,
,
,
,
56800,60500
,
,
65400,60300
80400,69400
70900,61900
54800,62100
,
,
85500,60200
,
63400,56900
72200,67600
,
76000,64000
42300,32300
,
,
,
,
66700,74700
,
75100,58400
,
75000,69300
63500,60200
72700,61900
,
69800,84900
46700,38500
75300,44700
67200,48800
60000,40800
60600,39100
79800,52600
58200,48200
54800,40200
88400,48200
59800,44200
74200,43100
70000,40200
84500,48300
66600,41200
60900,44500
59400,39000
59400,43300
88800,45000
67300,50000
80300,47200
126800,53900
78300,46100
85800,49800
60100,41900
94100,44600
71800,48400
57200,40900
113300,57200
77200,44400
53600,42000
103400,47400
84000,54000
64600,45400
48800,44900
75200,53400
52700,37800
52600,37700
66700,44400
70700,45800
59600,37600
62100,45300
65700,46500
89900,51500
52500,38600
76800,43100
72900,46900
77300,43900
86600,42400
77000,44500
74300,46500
66400,43400
98900,52700
49100,39800
71300,57700
82300,49900
52200,52100
83400,43500
48900,39700
59800,42000
62900,43300
50500,49000
73600,49700
78300,48600
54000,40100
68300,43300
52100,37200
76600,46100
64900,43500
80800,58500
70600,42200
65400,40800
67700,47200
53800,39400
66200,47900
79900,50400
76200,46100
90000,46600
70600,43800
66800,47500
77000,46300
67200,48800
46200,34400
94400,51400
63200,46000
76900,47100
72700,48700
99600,52600
65200,49500
39400,32900
,
40800,41200
63700,58200
52500,59700
43900,51000
49000,39300
45500,43800
77400,53400
59800,47300
46600,37100
40800,36600
,
83500,51300
,
57700,43200
52300,43600
