State,Commuting Zone ID,School Expenditure per Student,Teacher Student Ratio,Test Score Percentile,High School Dropout Rate
AR,25900,4.696,17.1,0.329,0.003
MN,26001,6.615,17,10.027,-0.024
MN,26002,6.838,17.7,7.505,0.004
MN,26003,6.391,16.9,,
MN,26004,7.259,16.8,-0.029,0.009
MO,26101,5.158,13.8,-2.659,0.006
MO,26102,5.395,14.9,-2.981,0.002
MO,26103,5.365,13.3,-0.06,-0.027
MO,26104,5.709,13.5,1.442,0.018
MO,26105,5.69,13.6,-3.398,-0.026
IA,26106,6.671,13.2,4.502,-0.015
MO,26107,5.052,14.7,5.694,0.002
ND,26201,4.835,18.3,5.047,-0.017
ND,26202,6.846,11.3,,
ND,26203,5.665,13.9,13.552,-0.043
ND,26204,7.049,12.2,,
ND,26301,5.558,14.8,0.439,-0.006
ND,26302,4.748,16,6.691,-0.041
ND,26303,6.415,12.6,-16.988,0.048
ND,26304,4.748,16.5,8.783,-0.027
ND,26305,5.253,13.7,12.369,-0.029
SD,26401,5.864,11.5,,
MT,26402,7.306,12.8,,
ND,26403,5.772,12.2,,
ND,26404,6.404,13.4,17.086,-0.036
MT,26405,8.514,11.8,,
MT,26406,7.014,14.1,-10.316,0.038
MT,26407,7.281,13,,
MT,26408,7.491,13.6,9.237,-0.028
MT,26409,5.793,14.5,11.656,-0.026
ND,26410,5.08,18.1,10.289,-0.027
ND,26411,6.291,14.4,5.512,-0.019
ND,26412,5.093,16.1,9.652,-0.034
SD,26501,4.768,15.5,12.972,-0.022
SD,26502,4.547,17.2,13.99,-0.024
SD,26503,5.132,17.3,-0.6,-0.004
SD,26504,4.92,17.4,14.26,-0.013
MN,26601,6.052,15.6,11.685,-0.033
SD,26602,5.094,13.9,4.794,-0.006
SD,26603,6.853,12.3,-22.102,0.099
SD,26604,5.09,15.5,19.04,-0.01
SD,26605,5.042,15.4,7.676,-0.014
MN,26701,7.145,16.5,4.087,0.006
ND,26702,5.561,15.5,8.881,-0.026
MN,26703,6.982,15.6,9.516,-0.032
ND,26704,5.709,16.8,8.004,-0.017
ND,26801,6.269,17.2,6.018,-0.014
ND,26802,4.879,17.3,10.804,-0.031
ND,26803,5.257,16.4,10.253,-0.034
ND,26804,6.071,13.7,,
MN,26901,6.713,16.9,15.814,-0.003
MN,26902,7.227,17.4,7.154,-0.019
NE,27001,8.565,12,10.016,-0.033
NE,27002,6.896,11.9,9.69,-0.034
NE,27003,6.274,11.6,0.131,
SD,27004,4.964,14.8,16.809,-0.019
SD,27005,6.307,16.2,8.914,-0.017
SD,27006,5.252,14.8,15.04,-0.03
SD,27007,5.12,15.5,7.178,-0.01
SD,27008,4.736,14.1,6.127,-0.027
SD,27009,5.188,13.2,13.686,-0.019
SD,27010,5.358,14.3,,
SD,27011,5.099,17.7,8.612,0.007
SD,27012,6.693,14.2,,
MN,27101,7.863,16.5,5.464,-0.012
MN,27102,6.325,16.3,11.332,-0.017
IA,27201,6.003,14.9,10.514,-0.031
MN,27202,6.848,15.9,8.616,-0.018
IA,27301,6.271,14.6,9.503,-0.033
MN,27302,7.665,15.3,9.026,-0.013
IA,27401,6.03,13.6,4.72,-0.033
IA,27402,6.203,14.2,4.168,-0.022
IA,27501,6.405,15.9,1.707,-0.006
IA,27502,6.49,13.4,4.511,-0.018
IA,27503,6.166,14.5,9.915,-0.032
IA,27504,6.048,14.1,6.525,-0.027
SD,27601,4.695,16.8,0.755,0.012
SD,27602,6.721,16.1,0.729,0.064
SD,27603,5.023,12.8,11.09,-0.042
SD,27604,4.161,15.4,,
SD,27605,5.546,13.9,-30.399,
NE,27701,5.664,15.8,-1.08,0.006
WY,27702,5.823,16.4,2.301,0.009
WY,27703,6.934,12.6,8.823,-0.003
SD,27704,6.731,13.9,-19.811,-0.006
NE,27801,6.382,15.1,9.922,-0.022
NE,27802,6.299,14.7,4.493,-0.012
NE,27901,7.202,14.1,0.591,-0.015
NE,27902,7.759,13,5.696,-0.03
NE,27903,7.078,15.5,-1.948,0.003
IA,28001,5.613,15.9,-0.747,0.003
NE,28002,5.889,13.2,6.98,0.003
NE,28101,6.915,15.1,-1.788,0.012
NE,28102,6.737,13.8,6.023,-0.031
IA,28201,5.934,14.3,2.605,-0.031
NE,28202,6.173,16.6,-0.627,0.012
CO,28301,6.612,14.7,5.504,
NE,28302,8.616,12.8,10.627,-0.02
NE,28303,8.744,11.2,,
NE,28304,6.509,12.2,6.61,-0.027
NE,28305,6.951,12.6,9.913,-0.034
NE,28306,6.038,14.6,5.513,-0.004
CO,28401,5.477,18.7,6.149,
CO,28402,5.838,16.9,,
CO,28501,7.474,10.8,,
CO,28502,5.7,18.3,0.741,
CO,28503,6.233,15.9,-3.549,
CO,28504,6.836,13.2,8.654,
KS,28601,7.4,11.2,15.591,-0.035
KS,28602,6.952,11.7,17.097,-0.024
KS,28603,8.507,11.9,15.222,-0.03
KS,28604,7.703,11.7,9.678,-0.025
KS,28605,6.592,13.6,-2.205,-0.035
KS,28606,7.904,12.6,,
NE,28607,7.169,12.6,10.092,
NE,28608,7.265,15.2,10.943,-0.024
NE,28609,7.039,14.4,7.094,-0.011
CO,28701,5.695,15.5,6.261,
CO,28702,11.906,16.7,-9.601,
CO,28703,6.111,14.9,10.263,
WY,28704,6.262,14.5,9.725,0.027
CO,28800,5.458,18.9,0.13,
CO,28900,6.045,20.3,-5.737,
KS,29001,6.334,13.7,10.643,-0.027
KS,29002,10.5,9.6,,
KS,29003,5.524,16.4,-4.287,-0.022
KS,29004,6.736,14.1,9.964,-0.009
KS,29005,6.078,14.6,9.217,-0.008
KS,29006,6.468,13.1,17.463,-0.012
KS,29007,7.61,12,8.363,-0.017
KS,29008,8.285,10.9,10.459,-0.019
KS,29101,7.398,12.2,9.956,-0.034
NE,29102,7.74,11.7,10.549,
KS,29103,7.754,12.3,14.946,-0.023
KS,29104,5.878,15.7,6.971,-0.021
KS,29201,6.534,14.3,15.663,-0.025
KS,29202,7.199,12.2,20.071,-0.028
KS,29203,6.102,15.6,14.006,-0.023
KS,29204,6.66,16.4,4.064,-0.006
KS,29301,6.149,17.4,-2.99,0.01
KS,29302,7.414,15.3,14.538,-0.022
KS,29303,6.473,14.9,4.974,-0.017
KS,29401,6.182,14.9,5.142,-0.017
KS,29402,8.784,14.9,1.357,-0.023
KS,29403,5.039,16.3,1.513,-0.007
KS,29501,6.836,16,6.203,0
MO,29502,6.45,16.2,-0.787,0.004
MO,29503,5.093,14.9,-0.567,-0.015
MO,29504,4.665,15,-2.015,-0.007
MO,29505,5.779,12.3,3.919,-0.02
MO,29506,5.239,12.8,1.058,-0.004
MO,29601,5.346,15.3,1.566,-0.004
MO,29602,4.696,15.7,3.582,-0.013
MO,29700,4.77,16.5,3.364,0.002
MO,29800,5.398,15.3,-0.8,0.001
MO,29901,4.965,16.8,1.806,0.006
MO,29902,4.534,15.5,0.341,-0.007
AR,30000,4.529,17.3,4.951,0.011
AR,30100,4.869,16.5,-2.179,0.004
OK,30200,5.189,15.3,-4.951,0.004
AR,30300,5.063,18.3,1.533,0.014
OK,30401,5.159,16.3,0.166,-0.009
OK,30402,4.642,17.3,-5.513,0.016
OK,30403,4.683,16.4,-4.907,-0.009
OK,30501,5.339,14.2,-0.373,0.011
OK,30502,5.108,15.2,0.799,-0.012
TX,30601,5.51,16.6,-6.376,0.008
NM,30602,4.472,17.7,-5.96,-0.025
NM,30603,4.238,18.4,-18.629,0.037
NM,30604,4.444,17.8,-16.654,-0.017
TX,30605,6.778,13.1,,
NM,30701,4.614,18.1,-10.46,-0.009
NM,30702,7.364,14.1,-9.72,-0.033
NM,30801,5.976,17,-7.005,-0.017
TX,30802,6.336,14.5,4.305,-0.007
NM,30901,4.674,16.6,-7.413,-0.014
TX,30902,6.744,13,3.218,-0.012
TX,30903,5.09,15.8,2.695,-0.005
TX,30904,6.538,13.7,3.792,-0.017
TX,30905,9.345,10.5,8.86,-0.033
TX,30906,6.922,10.7,8.631,-0.031
TX,30907,8.484,10,,
