County ID,Commuting Zone ID,Teenage Birth Rate,Mean Parent Income,Mean Child Income,Number of Children in Core Sample
17183,14500,0.21,69100,44300,3380
17185,14700,0.149,65700,50700,568
17187,23700,0.166,61900,49100,747
17189,25500,0.12,73000,58400,663
17191,14801,0.172,59700,49000,640
17193,14801,0.167,57800,47700,645
17195,24400,0.164,75600,50800,2701
17197,24300,0.105,105700,56900,17857
17199,25601,0.148,66600,43400,2078
17201,24400,0.159,86900,46400,10660
17203,23900,0.079,102800,66200,1365
18001,14100,0.119,77300,52600,1383
18003,14100,0.162,99500,48800,13117
18005,14300,0.171,92100,49500,2570
18007,14500,0.128,63000,52400,489
18009,14000,0.171,67800,41900,560
18011,14200,0.116,134200,59300,1795
18013,14200,0.148,68100,41200,560
18015,14500,0.127,70600,49100,736
18017,13900,0.161,76100,48000,1593
18019,13101,0.173,70900,42800,3727
18021,14400,0.173,63300,45900,1259
18023,14500,0.167,71900,46300,1470
18025,13101,0.19,53900,40800,474
18027,14600,0.138,70800,52200,1172
18029,12800,0.157,81600,49300,1984
18031,12800,0.171,70500,49400,1106
18033,14100,0.184,91100,49100,1768
18035,14000,0.182,78600,42800,3935
18037,14700,0.088,92400,69800,1613
18039,13700,0.172,89800,45400,7281
18041,12600,0.208,68800,40600,1045
18043,13101,0.139,87000,48200,2863
18045,14500,0.177,65800,49800,864
18047,12800,0.18,68400,45700,771
18049,13800,0.167,68500,47500,931
18051,14700,0.151,71400,53400,1404
18053,14000,0.21,71500,41400,2836
18055,14600,0.172,62900,46200,1290
18057,14200,0.066,173600,64600,6248
18059,14200,0.123,101200,54700,2349
18061,13101,0.142,69100,46200,1600
18063,14200,0.1,107900,56200,3792
18065,14000,0.154,76100,45500,1892
18067,13900,0.165,90100,44500,3434
18069,14100,0.168,80000,48600,1804
18071,14300,0.203,72700,46900,1678
18073,14900,0.128,77500,55100,1538
18075,14100,0.16,61600,44100,927
18077,13102,0.179,63800,46900,1209
18079,14300,0.225,60300,41800,1023
18081,14200,0.128,104900,52100,4515
18083,14802,0.146,70300,52000,1603
18085,13800,0.164,94500,49000,3168
18087,13700,0.13,68900,46000,1510
18089,14900,0.168,79900,47100,21023
18091,13600,0.174,77800,45800,4318
18093,14600,0.203,70000,43200,1820
18095,14000,0.174,80400,44200,5002
18097,14200,0.207,84500,40100,31491
18099,13600,0.167,76500,50200,1984
18101,14600,0.175,60100,45700,548
18103,13900,0.185,70900,42500,1471
18105,14600,0.131,93100,47700,3095
18107,14400,0.168,72000,48100,1460
18109,14200,0.176,84600,44800,2569
18111,14900,0.175,69100,48600,563
18113,13700,0.193,71800,46100,1901
18115,12800,,,,
18117,14600,0.182,65700,42100,749
18119,14600,0.208,63500,37500,784
18121,14400,0.162,62700,44800,634
18123,14700,0.162,69100,52400,772
18125,14700,0.162,61000,51400,497
18127,14900,0.102,102900,54700,6150
18129,14700,0.131,82900,55400,1085
18131,13900,0.135,68100,51000,596
18133,14400,0.19,70700,43900,1205
18135,14000,0.199,60500,45500,1198
18137,12800,0.129,86200,56500,1387
18139,14200,0.164,70600,46100,748
18141,13600,0.162,90400,46100,10501
18143,14300,0.203,78000,36900,945
18145,14200,0.163,75900,45800,1670
18147,14700,0.168,69400,53200,908
18149,13600,0.227,56500,42200,1088
18151,14100,0.16,79300,45300,1271
18153,14400,0.172,59500,51000,833
18155,12800,0.194,51000,39900,323
18157,14500,0.129,95000,52400,4325
